z,n,symbol,radius,unc_r,abundance,unc_a,energy_shift,energy,unc_e,ripl_shift,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay_1,decay_1_%,unc_1,decay_2,decay_2_%,unc_2,decay_3,decay_3_%,unc_3,isospin,magnetic_dipole,unc_md,electric_quadrupole,unc_eq,qbm,unc_qb,qbm_n,unc_qbmn,qa,unc_qa,qec,unc_qec,sn,unc_sn,sp,unc_sp,binding,unc_ba,atomic_mass,unc_am,massexcess,unc_me,me_systematics,discovery,ENSDFpublicationcut-off,ENSDFauthors,Extraction_date,nuclide
55,88,Cs,4.8965,0.0151,,,,0.0,,,3/2+,1.791,,7,s,1.791,0.007,B-,100.0,,B-N,1.64,0.07,,,,,0.869,0.004,0.44,0.03,6261.6865,9.7303,2095.4203,9.6127,-1629.4708,8.5673,-7472.637,8.89,5232.2804,10.3583,9734.8412,8.0406,8243.6707,0.053,142927347.346,8.13,-67675.519,7.573,N,1962.0,31-May-2011,E. BROWNE and  J. K. TULI,2023-10-18,143cs
55,89,Cs,4.9055,0.0161,,,,0.0,,,1(-),0.994,,6,s,0.994,0.006,B-,100.0,,B-N,3.03,0.13,,,,,-0.545,0.003,0.29,0.02,8495.7679,20.4163,2594.5252,21.2353,-2090.0552,23.4932,-6399.061,20.821,3667.1613,21.5092,10357.4508,20.6636,8211.8894,0.1398,143932075.402,21.612,-63271.362,20.132,N,1967.0,30-APR-2010,BALRAJ SINGH,2023-10-18,144cs
55,90,Cs,4.9188,0.0191,,,,0.0,,,3/2+,0.587,,5,s,0.587,0.005,B-,100.0,,B-N,14.7,0.9,,,,,0.783,0.004,0.58,0.06,7461.7591,12.4121,3641.3878,11.4927,-2552.674,18.2474,-8561.087,14.393,4854.38,21.5837,10471.0936,10.5071,8188.7342,0.0625,144935528.927,9.733,-60054.424,9.067,N,1971.0,1-Oct-2008,E. BROWNE and  J. K. TULI,2023-10-18,145cs
55,91,Cs,4.9281,0.0193,,,,0.0,,,1-,0.3220,,13,s,0.322,0.0013,B-,100.0,,B-N,14.2,0.5,,,,,-0.514,0.002,0.21,0.03,9555.8882,3.3918,4134.4846,8.9568,-2932.3269,5.7223,-7355.43,24.39,3327.2745,9.5174,11106.0142,11.5463,8155.4365,0.0198,145940621.867,3.106,-55310.38,2.893,N,1971.0,14-Jul-2016,Yu. KHAZOV and  A. RODIONOV AND G. SHULYAK,2023-10-18,146cs
55,92,Cs,,,,,,0.0,,,(3/2+),0.2295,,10,s,0.2295,0.001,B-,100.0,,B-N,28.5,2.0,,,,,,,,,8343.9631,21.4535,4874.8779,8.5682,-3555.0,200.0,-9520.073,200.176,4681.0103,8.8687,11254.0931,25.6288,8131.801,0.057,146944261.512,9.0,-51920.073,8.383,N,1978.0,9-Mar-2022,N. Nica and B. Singh,2023-10-18,147cs
55,93,Cs,,,,,,0.0,,,,146,,6,ms,0.146,0.006,B-,100.0,,B-N,25.1,2.5,,,,,,,,,10633.9614,13.1258,5281.7677,23.6651,-4006.0,400.0,-8260.95,300.28,3062.1954,15.5032,11800.0,201.0,8097.5469,0.0881,147949639.026,14.0,-46910.95,13.041,N,1978.0,1-Oct-2013,N. NICA,2023-10-18,148cs
55,94,Cs,,,,,,0.0,,,,107,,6,ms,0.107,0.006,B-,100.0,,B-N,25.0,4.0,,,,,,,,,9531.0,400.0,6174.0,400.0,-4594.0,640.0,-10300.0,500.0,4460.0,400.0,11939.0,500.0,8073.0,3.0,148953516.0,429.0,-43300.0,400.0,Y,1979.0,23-Aug-2022,Balraj Singh and Jun Chen,2023-10-18,149cs
55,95,Cs,,,,,,0.0,,,,84,,8,ms,0.084,0.008,B-,100.0,,B-N,20.0,10.0,,,,,,,,,11720.0,400.0,6589.0,400.0,-5055.0,500.0,-9180.0,500.0,2942.0,565.0,12459.0,500.0,8039.0,3.0,149959023.0,429.0,-38170.0,400.0,Y,1979.0,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2023-10-18,150cs
55,96,Cs,,,,,,0.0,,,,69,,26,ms,0.069,0.026,B-,100.0,,B-N,,,,,,,,,,,10660.0,640.0,7539.0,500.0,-5504.0,583.0,,,4181.0,640.0,12579.0,583.0,8013.0,3.0,150963199.0,537.0,-34280.0,500.0,Y,1979.0,20-Feb-2017,F.G. KONDEV,2023-10-18,151cs
55,97,Cs,,,,,,0.0,,,,50,GT,,ms,0.05,,B-,100.0,,B-N,,,B-2N,,,,,,,,12480.0,640.0,7739.0,640.0,,,,,2921.0,707.0,,,7980.0,3.0,151968728.0,537.0,-29130.0,500.0,Y,1987.0,31-JAN-2018,BALRAJ SINGH,2023-10-18,152cs
56,58,Ba,,,,,,0.0,,,0+,0.43,,+30-15,s,0.43,0.225,EC+B+,99.1,0.3,ECP,20.0,10.0,A,0.9,0.3,,,,,,,,,,3592.284,18.5403,8780.491,133.338,14267.0,317.0,1429.869,103.0337,8089.6865,0.9007,113950718.489,110.227,-45905.437,102.676,N,1995.0,1-Jan-2012,Jean Blachot,2023-10-18,114ba
56,59,Ba,,,,,,0.0,,,(5/2+),0.45,,5,s,0.45,0.05,EC+B+,100.0,,B+P,15.0,,,,,,,,,,,,,,3175.0,231.0,10779.0,224.5,11086.0,225.0,1523.0,218.0,8116.0,2.0,114947482.0,215.0,-48920.0,200.0,Y,1997.0,1-Sep-2012,JEAN BLACHOT,2023-10-18,115ba
56,60,Ba,,,,,,0.0,,,0+,1.3,,2,s,1.3,0.2,EC+B+,100.0,,B+P,3.0,1.0,,,,,,,,,-14330.0,379.0,,,3222.0,200.0,7663.0,223.6,13531.0,283.0,1969.0,225.0,8162.0,2.0,115941621.0,215.0,-54380.0,200.0,Y,1997.0,1-Dec-2009,Jean Blachot,2023-10-18,116ba
56,61,Ba,,,,,,0.0,,,(3/2),1.75,,7,s,1.75,0.07,EC+B+,100.0,,B+P,0.0,,B+A,0.0,,,,,,,-11187.0,321.0,-25479.0,407.0,2320.8041,250.4321,9035.195,258.001,11150.0,321.0,2704.0,270.0,8187.9546,2.1396,116938316.403,268.749,-57457.906,250.339,N,1977.0,1-Mar-2009,JEAN BLACHOT,2023-10-18,117ba
56,62,Ba,,,,,,0.0,,,0+,5.5,,2,s,5.5,0.2,EC+B+,100.0,,ECP,,,,,,,,,,,-12580.0,361.0,-24000.0,283.0,2461.0,201.0,6209.377,200.406,12813.0,321.0,2995.0,210.0,8227.0,2.0,117933226.0,215.0,-62200.0,200.0,Y,1997.0,07-Jan-2022,Balraj Singh,2023-10-18,118ba
56,63,Ba,,,,,,0.0,,,(5/2+),5.4,,3,s,5.4,0.3,EC+B+,100.0,,ECP,25.0,,,,,,,,,,-9570.0,361.0,-23042.0,361.0,1641.7452,200.6349,7714.965,200.754,10462.0,283.0,3469.6905,200.6747,8245.9287,1.6829,118930659.683,214.997,-64590.096,200.269,N,1974.0,1-Dec-2008,D. M. SYMOCHKO and  E. BROWNE and  J. K. TULI,2023-10-18,119ba
56,64,Ba,4.8092,0.0058,,,,0.0,,,0+,24,,2,s,24.0,2.0,EC+B+,100.0,,,,,,,,,,,,,-11319.0,424.0,-21940.0,424.0,1733.3129,300.4477,5000.0,300.3,12369.8705,360.8422,3872.5584,300.4891,8280.2949,2.5014,119926044.997,322.241,-68888.649,300.166,N,1974.0,1-Dec-2001,K. KITAO and  Y. TENDOW AND A. HASHIZUME,2023-10-18,120ba
56,65,Ba,4.8176,0.0052,,,,0.0,,,5/2(+),29.7,,15,s,29.7,1.5,EC+B+,100.0,,,,,,,,,0.66,0.001,1.89,0.13,-8555.0,332.0,-21246.0,332.0,1015.5841,142.2769,6357.495,142.616,9927.5164,332.0156,4145.1694,142.2476,8293.9083,1.1727,120924052.286,152.333,-70744.847,141.898,N,1975.0,20-Jan-2009,S. OHYA,2023-10-18,121ba
56,66,Ba,4.8153,0.0054,,,,0.0,,,0+,1.95,,15,m,117.0,9.0,EC+B+,100.0,,,,,,,,,,,,,-10066.0,299.0,-20490.0,301.0,1045.1996,29.8098,3535.817,43.769,11935.4228,144.6233,4795.581,31.3865,8323.7567,0.2291,121919904.0,30.0,-74608.952,27.945,N,1974.0,30-Sep-2006,T. TAMURA,2023-10-18,122ba
56,67,Ba,4.8135,0.0055,,,,0.0,,,5/2(+),2.4,,4,m,144.0,24.0,EC+B+,100.0,,,,,,,,,,,1.57,0.13,-7004.0,196.0,-19183.0,298.0,714.6091,15.9484,5388.694,17.125,9117.3296,30.4557,4799.1656,35.7973,8330.2086,0.0985,122918781.06,13.0,-75654.963,12.109,N,1962.0,15-Apr-2021,Jun Chen,2023-10-18,123ba
